User,Average Similarity
깡수s2,0.8753854
dada1104,0.8753114
문지인44,0.87527823
jjj****,0.8752554
vixen536,0.8752033
잉챠라떼,0.8751673
모ㄹ소ㄱ,0.87506914
lovely791229,0.87499446
얼리어먹터키키,0.87495375
oking16,0.8748978
쥬스2918,0.8748274
재벌가,0.8747233
dum****,0.8747111
good4458,0.8746639
bi****,0.87464935
rina10047,0.8746362
zzz****,0.87458605
츄아아앙,0.8745792
wual,0.8745628
탄이첫째누나,0.87452674
쇼퍼홀릭92,0.8744967
skswk82,0.87448287
다니에르l,0.87444425
yeonmin56,0.8744322
갈갈갈28,0.87442017
sunshinj,0.8743704
unknown1020,0.87436545
다람쥐7814,0.87434995
ranydream,0.8742421
uzzin2,0.87420255
어피치1158,0.8741207
러블LEE41,0.87412006
뷰티풀라이프29,0.87411183
wings of liberty,0.87397766
woo****,0.87397575
찌안찌안,0.87392414
쭈식가,0.87390137
희 이,0.8737093
pop****,0.87366027
kon1379,0.8736573
min****,0.8735564
JOHNMARSTON,0.8735459
seeU,0.87353164
채리의구석구석,0.87346554
GY8934,0.8734199
상큼아사랑해,0.8733966
00민이00,0.8733596
새꾸닢,0.8733094
김선형79,0.8732842
psycosy10,0.873213
슈공쥬,0.87317926
빙봉785,0.8731631
전국구강사,0.873159
검은우산산,0.8731088
yooo62,0.87289214
무수골경민,0.8728254
fon****,0.872705
톡톡1010,0.87266946
깜food,0.872663
라이온18,0.8725818
joannesam38,0.87256
시에나8,0.87248874
럽호린,0.87240803
olive5184,0.87232375
vva****,0.87231064
밍1690,0.8722858
정진욱96,0.8722024
조쌤안쌤,0.87217027
행꿈맘,0.87215173
silv2rain,0.87204474
hyojjuo,0.8720315
먹린의 전국일주,0.8720265
lIO0lIiilll,0.8719724
바카0815 ,0.87178373
모카요거트사줘,0.87177896
red****,0.87176573
leeshim,0.8717338
유니안젤라,0.87172544
도톨잉coowooc,0.8716847
올라봉봉,0.87168044
ㅇㅇㄹㄹㄹㄹㅇ,0.8716726
강지수15,0.8716407
케찹78,0.8716285
훈훈한형제,0.87155586
노원나들이,0.87145656
o1dd17,0.8714214
id4yu,0.8714179
Umiiiii,0.8714051
양소유님,0.8713762
뭘봐3824,0.8713536
용기로운생활,0.8713182
sue03210,0.87131363
수울술,0.8712891
biti,0.8712432
tjd****,0.87124264
rac****,0.8712331
김다빈8014,0.8711759
룽톨,0.87112546
배고파4932,0.87107766
황지은91,0.8710082
프리로즈,0.87098855
유리수92,0.8709768
hun****,0.87096846
hei****,0.8708463
amy****,0.8708337
victoria98,0.87080157
핑크와와,0.87078476
Jejusky,0.87078
투레빗맘,0.8706118
나티코,0.87058085
chemeina014,0.87057185
sm0723,0.8705712
clz****,0.8705419
한신8650,0.8705193
다래끼박,0.87048477
dudtnwkd852,0.87038404
뭉구름맘,0.87030774
민트초코만쉐,0.87029773
딩두딩듀,0.8701738
wls****,0.8701701
예슐랭 가이드,0.87012345
wnw****,0.87008154
단지161,0.8700513
리듬2048,0.86999494
소식성호,0.8699674
씅씅이2,0.8699421
밍크 인플루언서,0.86992687
차옹61,0.86970717
여미야미,0.8696262
ul****,0.86941296
김뽀41,0.8693652
정찰대장,0.86935085
떼벙희,0.8691999
명왕성37,0.86909646
당근시러6,0.86903733
밀림 김금손,0.869037
설화S,0.8689964
solvelyhwanvely,0.86893845
cs****,0.8688838
유쑤,0.86887676
날아라3997,0.86885643
네냥이집사,0.86867636
그녀의 책상,0.86856174
아롱90,0.86855733
dndus9,0.8685098
lsjajw,0.86850053
나무한그루97,0.86849004
양양이00,0.8684674
125875,0.8684376
서둥둥이,0.86841625
성호호령ㅋ,0.86840266
ksn****,0.8683737
thl****,0.8683673
뚱뺌,0.86835283
봄에피는나무,0.86832476
ahsirjd,0.8683223
영웅충이,0.86828697
찡2461,0.8682246
com****,0.8682035
윤제로,0.86815876
